"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://codapixel.com/","text/html;charset=UTF-8","200","OK","Indexable","","Web Design & SEO in Ayr | CodaPixel","35","326","Web design and SEO that generate clients. Fast websites, lead-focused design, Google Business Profile optimization, and transparent analytics.","142","886","Websites that convert + SEO that ranks. Fast builds, GBP optimization, tracking.","80","490","web design, website design, SEO, local SEO, Google Business Profile, Ayr, Scotland, CRO, analytics, small business websites","123","Websites that generate clients - from just £79/month","52","","0","Get a free website demo.","24","Websites that generate clients","30","","","","https://codapixel.com/","https://codapixel.com/","","","","","","85209","13509","13509","5.175","","514","120","4.283","78.715","Fairly Easy","5.991","0","0","","33","11","0","100.000","15","8","0","4","1","0","","","","","9d67d6a43524f68f406f19b425ab4dc6","0.320","","","","","en","1.1","","","","","","https://codapixel.com/","2025-10-31 23:45:31"
"https://codapixel.com/Logos/dirtworks.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","2772","2772","2772","1.062","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.332","","","","","","1.1","","","","","","https://codapixel.com/Logos/dirtworks.webp","2025-10-31 23:45:32"
"https://codapixel.com/phone.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","61616","61616","61616","23.604","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.336","","","","","","1.1","","","","","","https://codapixel.com/phone.webp","2025-10-31 23:45:32"
"https://codapixel.com/Logos/nk-logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","7536","7536","7536","2.887","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.340","","","","","","1.1","","","","","","https://codapixel.com/Logos/nk-logo.webp","2025-10-31 23:45:32"
"https://codapixel.com/Logos/rp-logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","2302","2302","2302","0.882","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.338","","","","","","1.1","","","","","","https://codapixel.com/Logos/rp-logo.webp","2025-10-31 23:45:32"
"https://codapixel.com/Logos/logo-with-ange.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","1972","1972","1972","0.755","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.339","","","","","","1.1","","","","","","https://codapixel.com/Logos/logo-with-ange.webp","2025-10-31 23:45:32"
"https://codapixel.com/Logos/rblogo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","4540","4540","4540","1.739","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.338","","","","","","1.1","","","","","","https://codapixel.com/Logos/rblogo.webp","2025-10-31 23:45:32"
"https://codapixel.com/Portfolio/rbjoinery.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","381778","381778","381778","146.252","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.331","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/rbjoinery.webp","2025-10-31 23:45:33"
"https://codapixel.com/gallery","text/html;charset=UTF-8","200","OK","Indexable","","Portfolio | Web Design Projects | CodaPixel","43","382","Web design and SEO that generate clients. Fast websites, lead-focused design, Google Business Profile optimization, and transparent analytics.","142","886","View our portfolio of web design and SEO projects. Real results for Ayrshire businesses.","88","542","web design, website design, SEO, local SEO, Google Business Profile, Ayr, Scotland, CRO, analytics, small business websites","123","Our Portfolio","13","","0","Ready to See Your Website Here?","31","","0","","","","https://codapixel.com/","https://codapixel.com/gallery","","","","","","34587","7323","7323","2.805","","114","29","3.931","44.034","Hard","4.185","1","0","","11","11","0","100.000","14","8","0","2","1","0","","","","","8dcd2ee04cc71abf6aa2a4cfea44ee43","2.096","","","","","en","1.1","","","","","","https://codapixel.com/gallery","2025-10-31 23:45:32"
"https://codapixel.com/contact","text/html;charset=UTF-8","200","OK","Indexable","","Contact CodaPixel","17","165","Web design and SEO that generate clients. Fast websites, lead-focused design, Google Business Profile optimization, and transparent analytics.","142","886","Book a discovery call. Fast replies.","36","213","web design, website design, SEO, local SEO, Google Business Profile, Ayr, Scotland, CRO, analytics, small business websites","123","","0","","0","Book your free website demo.","28","","0","","","","https://codapixel.com/","https://codapixel.com/contact","","","","","","29966","7074","7074","2.710","","33","8","4.125","100.000","Very Easy","2.572","1","0","","72","11","0","100.000","12","8","0","3","1","0","","","","","cea28be88610dc4565b9747a813e00e4","1.767","","","","","en","1.1","","","","","","https://codapixel.com/contact","2025-10-31 23:45:32"
"https://codapixel.com/Portfolio/proroof.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","111928","111928","111928","42.877","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.332","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/proroof.webp","2025-10-31 23:45:34"
"https://codapixel.com/Logos/sclogo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","5230","5230","5230","2.004","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.335","","","","","","1.1","","","","","","https://codapixel.com/Logos/sclogo.webp","2025-10-31 23:45:34"
"https://codapixel.com/Logos/coffee-cup.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.527","","","","","","1.1","","","","","","https://codapixel.com/Logos/coffee-cup.svg","2025-10-31 23:45:34"
"https://codapixel.com/C%20logo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","1832","1832","1832","0.702","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.400","","","","","","1.1","","","","","","https://codapixel.com/C%20logo.webp","2025-10-31 23:45:35"
"https://codapixel.com/assets/index-tXdvrzDL.css","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Web Design Ayrshire | Professional Website Design & Development Services | CodaPixel","84","779","Professional web design and web development services for Ayrshire businesses. Custom websites, local SEO, social media management, and conversion tracking. Serving Ayr, Prestwick, Troon, and all of Ayrshire.","207","1312","","0","0","","0","Websites that generate clients - from just £79/month","52","Book your free website demo.","28","Get a free website demo.","24","Websites that generate clients","30","","","","https://codapixel.com/","","","","","","","79238","13853","13853","5.307","","509","117","4.350","80.422","Easy","6.441","1","1","","0","0","0","0.000","20","8","0","4","1","0","","","","","4e12d828b0c665d93171441a3b8361db","0.378","","","","","en","1.1","","","","","","https://codapixel.com/assets/index-tXdvrzDL.css","2025-10-31 23:45:35"
"https://codapixel.com/Portfolio/tassecoffeeco.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","196628","196628","196628","75.324","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.344","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/tassecoffeeco.webp","2025-10-31 23:45:35"
"https://codapixel.com/privacy","text/html;charset=UTF-8","200","OK","Non-Indexable","noindex","Privacy Policy | CodaPixel","26","229","Web design and SEO that generate clients. Fast websites, lead-focused design, Google Business Profile optimization, and transparent analytics.","142","886","CodaPixel privacy policy and data protection information.","57","355","web design, website design, SEO, local SEO, Google Business Profile, Ayr, Scotland, CRO, analytics, small business websites","123","Privacy Policy","14","","0","Privacy Policy","14","","0","noindex,follow","","","https://codapixel.com/","https://codapixel.com/privacy","","","","","","31359","7586","7586","2.906","","339","62","5.468","57.540","Fairly Hard","8.957","1","0","","11","11","0","100.000","12","8","0","2","1","0","","","","","b09cc0317d77de8d14672220b9d22f8e","0.434","","","","","en","1.1","","","","","","https://codapixel.com/privacy","2025-10-31 23:45:36"
"https://codapixel.com/Portfolio/holistics71.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","315816","315816","315816","120.983","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.344","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/holistics71.webp","2025-10-31 23:45:36"
"https://codapixel.com/reviews","text/html;charset=UTF-8","200","OK","Indexable","","Client Reviews | CodaPixel","26","235","Web design and SEO that generate clients. Fast websites, lead-focused design, Google Business Profile optimization, and transparent analytics.","142","886","Results-focused web design & local SEO. Read client feedback.","61","391","web design, website design, SEO, local SEO, Google Business Profile, Ayr, Scotland, CRO, analytics, small business websites","123","What Our Customers Say","22","","0","More Reviews on Facebook","24","Ready to experience our service?","32","","","","https://codapixel.com/","https://codapixel.com/reviews","","","","","","60955","8353","8353","3.200","","197","58","3.397","75.843","Fairly Easy","5.310","1","0","","11","11","0","100.000","14","8","0","2","1","0","","","","","4f523bad93c14f433038b0cbe8918891","3.472","","","","","en","1.1","","","","","","https://codapixel.com/reviews","2025-10-31 23:45:33"
"https://codapixel.com/Portfolio/able_compressed.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","3707623","3707623","3707623","1420.320","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.335","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/able_compressed.webp","2025-10-31 23:45:36"
"https://codapixel.com/Logos/remilogo.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","6126","6126","6126","2.347","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.341","","","","","","1.1","","","","","","https://codapixel.com/Logos/remilogo.webp","2025-10-31 23:45:36"
"https://codapixel.com/Portfolio/sparklessite.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","81826","81826","81826","31.346","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.336","","","","","","1.1","","","","","","https://codapixel.com/Portfolio/sparklessite.webp","2025-10-31 23:45:36"
"https://codapixel.com/whatsapp.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","896","896","896","0.343","","0","","","","","0.000","1","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.439","","","","","","1.1","","","","","","https://codapixel.com/whatsapp.svg","2025-10-31 23:45:36"
"https://codapixel.com/_astro/contact.Cfxrbzo2.css","text/css; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","2","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.486","","","","","","1.1","","","","","","https://codapixel.com/_astro/contact.Cfxrbzo2.css","2025-10-31 23:45:37"
"https://codapixel.com/Computer%20Hero%20background%20removed.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","42922","42922","42922","16.443","","0","","","","","0.000","2","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.344","","","","","","1.1","","","","","","https://codapixel.com/Computer%20Hero%20background%20removed.webp","2025-10-31 23:45:37"
"https://codapixel.com/rokman.webp","image/webp","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","21114","21114","21114","8.088","","0","","","","","0.000","2","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.333","","","","","","1.1","","","","","","https://codapixel.com/rokman.webp","2025-10-31 23:45:37"
"https://codapixel.com/locations","text/html","502","Bad Gateway","Non-Indexable","Server Error","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","122","122","122","0.047","","0","","","","","0.000","1","0","","11","11","0","100.000","0","0","0","0","0","0","","","","","","4.789","","","","","","1.1","","","","","","https://codapixel.com/locations","2025-10-31 23:45:35"
"https://codapixel.com/services","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","39","39","39","0.015","","0","","","","","0.000","1","0","","24","11","0","100.000","0","0","0","0","0","0","","","","","","4.286","","https://codapixel.com/services/","HTTP Redirect","","","1.1","","","","","","https://codapixel.com/services","2025-10-31 23:45:36"
"https://codapixel.com/locations/scotland","text/html; charset=utf-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","39","39","39","0.015","","0","","","","","0.000","1","1","","11","11","0","100.000","0","0","0","0","0","0","","","","","","10.603","","https://codapixel.com/locations/scotland/","HTTP Redirect","","","1.1","","","","","","https://codapixel.com/locations/scotland","2025-10-31 23:45:32"
"https://codapixel.com/services/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Professional Website Builder Services | Custom Web Development & Design | CodaPixel","83","777","Professional website builder and freelance web development services. Custom websites in 24 hours, local SEO, social media management, and conversion tracking. Fast, responsive websites that drive results.","204","1289","","0","0","","0","Our Professional Services","25","","0","Ready to get started?","21","","0","","","","https://codapixel.com/services","","","","","","","24255","4899","4899","1.877","","194","44","4.409","82.001","Easy","8.671","2","1","","0","0","0","0.000","17","8","0","2","1","0","","","","","ec081bab533dfc53e46d8bf843f4cc69","3.025","","","","","en","1.1","","","","","","https://codapixel.com/services/","2025-10-31 23:45:41"
"https://codapixel.com/locations/scotland/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","Web Design Scotland | Professional Website Design & Development Services | CodaPixel","84","784","Professional web design and web development services for businesses across Scotland. Custom websites, local SEO, social media management, and conversion tracking. Serving Glasgow, Edinburgh, Aberdeen, Dundee, Ayrshire, and all of Scotland.","239","1535","","0","0","","0","Web Design & SEO for Scottish Businesses","40","Book your free website demo.","28","Get a free website demo.","24","Websites that generate clients","30","","","","https://codapixel.com/locations/scotland","","","","","","","77047","12146","12146","4.653","","728","158","4.608","68.634","Normal","9.770","2","2","","0","0","0","0.000","30","18","0","4","1","0","","","","","285d2d5743bd8ae6f84f056126440f67","10.792","","","","","en","1.1","","","","","","https://codapixel.com/locations/scotland/","2025-10-31 23:45:43"
